File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Jay\Desktop\Code\BBCInventathonNode\index.js,getLeaderboard(callback),4,4,2,0,0,1,0,15,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\index.js,saveLeaderboard(data),2,2,1,0,0,1,0,13,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\index.js,getTopLeaderboard(callback1),9,9,7,3,0,5,0,35,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\index.js,"saveToLeaderboard(name, score)",6,6,3,0,0,5,0,25,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\index.js,"function(req, res)",4,4,3,0,0,4,0,19,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\index.js,"function(req, res)",2,2,2,0,0,2,0,13,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\index.js,function(),2,2,2,0,0,1,0,7,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\assets\color.js,"color(imgSrc, isDarkImg)",8,8,6,1,0,1,0,14,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\assets\color.js,"convertRange( value, r1, r2 )",2,2,2,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\assets\color.js,getAverageRGB(imgEl),44,34,24,5,9,3,1,20,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\html\game.html,getImageFromName(name),9,9,5,4,0,2,0,10,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\html\game.html,randomMove(elem),9,9,4,0,0,5,0,35,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\html\game.html,"initPic(pic, word)",14,13,8,1,1,3,0,18,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\accepts\index.js,Accepts(req),6,5,1,2,1,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\accepts\index.js,function(types_),22,17,10,7,3,0,2,9,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\accepts\index.js,function(encodings_),17,12,4,5,3,0,2,9,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\accepts\index.js,function(charsets_),17,12,4,5,3,0,2,9,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\accepts\index.js,function(languages_),17,12,4,5,3,0,2,9,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\accepts\index.js,extToMime(type),4,4,1,2,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\accepts\index.js,validMime(type),2,2,2,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\index.js,"after(count, callback, err_cb)",23,18,5,3,3,0,2,16,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\index.js,noop(),1,1,1,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\README.md,"function(req, res)",43,31,9,8,8,0,4,25,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\README.md,logItWorks(),2,2,1,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\README.md,logError(err),2,2,1,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\test\after-test.js,function(done),2,2,1,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\test\after-test.js,function(done),3,3,1,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\test\after-test.js,function(done),7,6,2,1,1,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\test\after-test.js,function(done),8,7,2,1,1,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\test\after-test.js,function(done),7,7,4,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\test\after-test.js,function(done),16,13,5,0,3,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\test\after-test.js,function(done),16,13,5,0,3,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\test\after-test.js,function(done),14,11,6,0,2,0,1,3,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\test\after-test.js,function(done),14,11,6,0,2,0,1,3,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\test\after-test.js,function(done),4,4,3,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\array-flatten\array-flatten.js,"flattenWithDepth(array, result, depth)",12,10,4,3,2,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\array-flatten\array-flatten.js,"flattenForever(array, result)",12,10,4,3,2,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\array-flatten\array-flatten.js,"arrayFlatten(array, depth)",6,5,2,3,1,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\arraybuffer.slice\index.js,"function(arraybuffer, start, end)",21,17,15,8,4,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\backo2\index.js,Backoff(opts),7,7,8,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\backo2\index.js,function(),8,8,7,2,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\backo2\index.js,function(),2,2,2,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\backo2\index.js,function(min),2,2,2,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\backo2\index.js,function(max),2,2,2,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\backo2\index.js,function(jitter),2,2,2,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\base64id\lib\base64id.js,function(),1,1,1,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\base64id\lib\base64id.js,function(bytes),49,35,27,11,12,0,2,19,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\base64id\lib\base64id.js,function(),17,16,12,4,0,2,1,13,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\better-assert\example.js,test(),4,4,5,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\better-assert\index.js,function(),1,1,1,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\better-assert\index.js,assert(expr),17,14,12,1,3,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\blob\index.js,"BlobBuilderConstructor(ary, options)",11,8,8,2,3,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\blob\index.js,"BlobConstructor(ary, options)",3,3,4,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\index.js,createParserGetter(name),4,4,2,2,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\index.js,loadParser(parserName),25,20,3,8,3,0,2,13,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\README.md,"function(req, res)",3,3,1,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\README.md,"function(req, res)",3,2,1,1,0,0,1,4,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\read.js,"read(req, res, next, parse, debug, options)",94,67,15,13,13,0,14,39,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\read.js,"contentstream(req, debug, inflate)",33,29,4,6,4,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\read.js,"setErrorStatus(error, status)",5,5,2,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\types\raw.js,raw(options),56,42,10,11,10,0,4,17,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\types\raw.js,typeChecker(type),4,4,2,2,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\types\text.js,text(options),60,44,10,11,11,0,5,19,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\types\text.js,getCharset(req),6,6,3,2,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\types\text.js,typeChecker(type),4,4,2,2,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\types\urlencoded.js,urlencoded(options),80,60,14,16,13,0,7,33,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\types\urlencoded.js,extendedparser(options),32,26,6,6,6,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\types\urlencoded.js,getCharset(req),6,6,3,2,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\types\urlencoded.js,"parameterCount(body, limit)",14,11,3,4,3,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\types\urlencoded.js,parser(name),21,15,3,6,4,0,2,13,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\types\urlencoded.js,simpleparser(options),25,20,6,6,5,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\types\urlencoded.js,typeChecker(type),4,4,2,2,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\README.md,function(),2,2,2,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\README.md,1000);  setInterval(function(),2,2,2,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\browser.js,useColors(),18,8,4,3,1,0,9,56,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\browser.js,function(v),6,6,5,2,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\browser.js,formatArgs(args),31,21,14,3,5,0,5,48,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\browser.js,log(),6,4,2,3,0,0,2,13,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\browser.js,save(namespaces),8,8,7,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\browser.js,load(),12,9,8,2,2,0,1,14,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\browser.js,localstorage(),4,4,4,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\debug.js,selectColor(namespace),9,7,6,2,2,1,0,4,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\debug.js,createDebug(namespace),65,43,38,8,13,0,9,56,
